8/8/6K1/4R3/8/8/8/k7 w - - 0 1,15
8/8/6K1/4R3/8/8/8/k7 b - - 0 1,-22
8/8/6K1/8/8/8/8/k6R b - - 0 1,-24
8/8/6K1/8/8/8/8/k4R2 b - - 0 1,-24
8/8/6K1/7R/8/8/8/k7 w - - 0 1,15
8/8/6K1/7R/8/8/8/k7 b - - 0 1,-22
3R4/8/6K1/8/8/8/8/k7 w - - 0 1,19
3R4/8/6K1/8/8/8/8/k7 b - - 0 1,-24
8/8/6K1/8/2R5/8/8/k7 w - - 0 1,17
8/8/6K1/8/2R5/8/8/k7 b - - 0 1,-22
8/8/6K1/4R3/8/8/8/k7 w - - 0 1,15
8/8/6K1/4R3/8/8/8/k7 b - - 0 1,-22
8/8/6K1/8/8/8/8/k6R b - - 0 1,-24
8/8/6K1/8/8/8/8/k4R2 b - - 0 1,-24
8/8/6K1/7R/8/8/8/k7 w - - 0 1,15
8/8/6K1/7R/8/8/8/k7 b - - 0 1,-22
3R4/8/6K1/8/8/8/8/k7 w - - 0 1,19
3R4/8/6K1/8/8/8/8/k7 b - - 0 1,-24
8/8/6K1/8/2R5/8/8/k7 w - - 0 1,17
8/8/6K1/8/2R5/8/8/k7 b - - 0 1,-22
8/8/8/4K3/8/8/8/k6R b - - 0 1,-18
8/8/8/4K3/8/8/8/k4R2 b - - 0 1,-18
8/8/8/4K2R/8/8/8/k7 w - - 0 1,11
8/8/8/4K2R/8/8/8/k7 b - - 0 1,-18
3R4/8/8/4K3/8/8/8/k7 w - - 0 1,11
3R4/8/8/4K3/8/8/8/k7 b - - 0 1,-18
8/8/8/4K3/2R5/8/8/k7 w - - 0 1,11
8/8/8/4K3/2R5/8/8/k7 b - - 0 1,-16
8/8/5K2/4R3/8/8/8/k7 w - - 0 1,15
8/8/5K2/4R3/8/8/8/k7 b - - 0 1,-22
8/8/5K2/8/8/8/8/k6R b - - 0 1,-22
8/8/5K2/8/8/8/8/k4R2 b - - 0 1,-22
8/8/5K2/7R/8/8/8/k7 w - - 0 1,15
8/8/5K2/7R/8/8/8/k7 b - - 0 1,-22
3R4/8/5K2/8/8/8/8/k7 w - - 0 1,15
3R4/8/5K2/8/8/8/8/k7 b - - 0 1,-22
8/8/5K2/8/2R5/8/8/k7 w - - 0 1,17
8/8/5K2/8/2R5/8/8/k7 b - - 0 1,-18
8/8/8/4R3/8/8/2K5/k7 w - - 0 1,1
8/8/8/4R3/8/8/2K5/k7 b - - 0 1,-2
8/8/8/8/8/8/2K5/k6R b - - 0 1,-4
8/8/8/8/8/8/2K5/k4R2 b - - 0 1,-4
8/8/8/7R/8/8/2K5/k7 w - - 0 1,1
8/8/8/7R/8/8/2K5/k7 b - - 0 1,-2
3R4/8/8/8/8/8/2K5/k7 w - - 0 1,1
3R4/8/8/8/8/8/2K5/k7 b - - 0 1,-2
8/8/8/8/2R5/8/2K5/k7 w - - 0 1,1
8/8/8/8/2R5/8/2K5/k7 b - - 0 1,-2
8/8/8/4R3/8/8/8/k3K3 w - - 0 1,9
8/8/8/4R3/8/8/8/k3K3 b - - 0 1,-12
8/8/8/8/8/8/8/k3K2R w - - 0 1,9
8/8/8/8/8/8/8/k3K2R b - - 0 1,-12
8/8/8/8/8/8/8/k3KR2 w - - 0 1,9
8/8/8/8/8/8/8/k3KR2 b - - 0 1,-12
8/8/8/7R/8/8/8/k3K3 w - - 0 1,9
8/8/8/7R/8/8/8/k3K3 b - - 0 1,-12
3R4/8/8/8/8/8/8/k3K3 w - - 0 1,9
3R4/8/8/8/8/8/8/k3K3 b - - 0 1,-12
8/8/8/8/2R5/8/8/k3K3 w - - 0 1,9
8/8/8/8/2R5/8/8/k3K3 b - - 0 1,-12
8/8/8/1R6/7K/8/8/1k6 b - - 0 1,-28
8/8/8/8/5R1K/8/8/1k6 w - - 0 1,17
8/8/8/8/5R1K/8/8/1k6 b - - 0 1,-22
8/8/5R2/8/7K/8/8/1k6 w - - 0 1,17
8/8/5R2/8/7K/8/8/1k6 b - - 0 1,-22
8/8/8/R7/7K/8/8/1k6 w - - 0 1,21
8/8/8/R7/7K/8/8/1k6 b - - 0 1,-26
8/8/8/8/7K/4R3/8/1k6 w - - 0 1,15
8/8/8/8/7K/4R3/8/1k6 b - - 0 1,-18
8/8/3R4/8/7K/8/8/1k6 w - - 0 1,17
8/8/3R4/8/7K/8/8/1k6 b - - 0 1,-26
8/8/8/1R6/8/K7/8/1k6 b - - 0 1,-22
