8/8/8/7K/5R2/8/8/k7 w - - 0 1,15
8/8/8/7K/5R2/8/8/k7 b - - 0 1,-22
2R5/8/8/7K/8/8/8/k7 w - - 0 1,19
2R5/8/8/7K/8/8/8/k7 b - - 0 1,-24
8/8/8/7K/8/5R2/8/k7 w - - 0 1,15
8/8/8/7K/8/5R2/8/k7 b - - 0 1,-20
8/3R4/8/7K/8/8/8/k7 w - - 0 1,19
8/3R4/8/7K/8/8/8/k7 b - - 0 1,-24
8/8/8/7K/8/1R6/8/k7 w - - 0 1,19
8/8/8/7K/8/1R6/8/k7 b - - 0 1,-20
8/8/8/7K/8/7R/8/k7 w - - 0 1,15
8/8/8/7K/8/7R/8/k7 b - - 0 1,-20
4R3/8/8/7K/8/8/8/k7 w - - 0 1,15
4R3/8/8/7K/8/8/8/k7 b - - 0 1,-20
R7/8/8/7K/8/8/8/k7 b - - 0 1,-26
8/7R/8/7K/8/8/8/k7 w - - 0 1,21
8/7R/8/7K/8/8/8/k7 b - - 0 1,-28
8/8/8/7K/8/4R3/8/k7 w - - 0 1,15
8/8/8/7K/8/4R3/8/k7 b - - 0 1,-18
8/8/8/3R3K/8/8/8/k7 w - - 0 1,19
8/8/8/3R3K/8/8/8/k7 b - - 0 1,-24
8/8/8/7K/8/8/8/k3R3 b - - 0 1,-20
8/8/6R1/7K/8/8/8/k7 w - - 0 1,15
8/8/6R1/7K/8/8/8/k7 b - - 0 1,-24
8/8/8/7K/8/8/3R4/k7 w - - 0 1,13
8/8/8/7K/8/8/3R4/k7 b - - 0 1,-18
8/1R6/8/7K/8/8/8/k7 w - - 0 1,19
8/1R6/8/7K/8/8/8/k7 b - - 0 1,-20
1R6/8/8/7K/8/8/8/k7 w - - 0 1,19
1R6/8/8/7K/8/8/8/k7 b - - 0 1,-18
8/8/8/1K6/5R2/8/8/k7 w - - 0 1,9
8/8/8/1K6/5R2/8/8/k7 b - - 0 1,-12
2R5/8/8/1K6/8/8/8/k7 w - - 0 1,9
2R5/8/8/1K6/8/8/8/k7 b - - 0 1,-10
8/8/8/1K6/8/5R2/8/k7 w - - 0 1,9
8/8/8/1K6/8/5R2/8/k7 b - - 0 1,-14
8/3R4/8/1K6/8/8/8/k7 w - - 0 1,9
8/3R4/8/1K6/8/8/8/k7 b - - 0 1,-12
8/8/8/1K6/8/1R6/8/k7 w - - 0 1,9
8/8/8/1K6/8/1R6/8/k7 b - - 0 1,-8
8/8/8/1K6/8/7R/8/k7 w - - 0 1,9
8/8/8/1K6/8/7R/8/k7 b - - 0 1,-14
4R3/8/8/1K6/8/8/8/k7 w - - 0 1,9
4R3/8/8/1K6/8/8/8/k7 b - - 0 1,-12
R7/8/8/1K6/8/8/8/k7 b - - 0 1,-12
8/7R/8/1K6/8/8/8/k7 w - - 0 1,9
8/7R/8/1K6/8/8/8/k7 b - - 0 1,-12
8/8/8/1K6/8/4R3/8/k7 w - - 0 1,9
8/8/8/1K6/8/4R3/8/k7 b - - 0 1,-14
8/8/8/1K1R4/8/8/8/k7 w - - 0 1,9
8/8/8/1K1R4/8/8/8/k7 b - - 0 1,-12
8/8/8/1K6/8/8/8/k3R3 b - - 0 1,-14
8/8/6R1/1K6/8/8/8/k7 w - - 0 1,9
8/8/6R1/1K6/8/8/8/k7 b - - 0 1,-12
8/8/8/1K6/8/8/3R4/k7 w - - 0 1,7
8/8/8/1K6/8/8/3R4/k7 b - - 0 1,-10
8/1R6/8/1K6/8/8/8/k7 w - - 0 1,7
8/1R6/8/1K6/8/8/8/k7 b - - 0 1,-12
1R6/8/8/1K6/8/8/8/k7 w - - 0 1,7
1R6/8/8/1K6/8/8/8/k7 b - - 0 1,-12
5K2/8/8/8/5R2/8/8/k7 w - - 0 1,19
5K2/8/8/8/5R2/8/8/k7 b - - 0 1,-26
2R2K2/8/8/8/8/8/8/k7 w - - 0 1,15
2R2K2/8/8/8/8/8/8/k7 b - - 0 1,-22
5K2/8/8/8/8/5R2/8/k7 w - - 0 1,19
5K2/8/8/8/8/5R2/8/k7 b - - 0 1,-26
5K2/3R4/8/8/8/8/8/k7 w - - 0 1,15
5K2/3R4/8/8/8/8/8/k7 b - - 0 1,-24
5K2/8/8/8/8/1R6/8/k7 w - - 0 1,15
5K2/8/8/8/8/1R6/8/k7 b - - 0 1,-18
5K2/8/8/8/8/7R/8/k7 w - - 0 1,19
5K2/8/8/8/8/7R/8/k7 b - - 0 1,-24
4RK2/8/8/8/8/8/8/k7 w - - 0 1,15
4RK2/8/8/8/8/8/8/k7 b - - 0 1,-24
R4K2/8/8/8/8/8/8/k7 b - - 0 1,-24
5K2/7R/8/8/8/8/8/k7 w - - 0 1,15
5K2/7R/8/8/8/8/8/k7 b - - 0 1,-24
5K2/8/8/8/8/4R3/8/k7 w - - 0 1,19
5K2/8/8/8/8/4R3/8/k7 b - - 0 1,-26
5K2/8/8/3R4/8/8/8/k7 w - - 0 1,15
5K2/8/8/3R4/8/8/8/k7 b - - 0 1,-22
5K2/8/8/8/8/8/8/k3R3 b - - 0 1,-26
5K2/8/6R1/8/8/8/8/k7 w - - 0 1,15
5K2/8/6R1/8/8/8/8/k7 b - - 0 1,-24
